start_station,end_station,ride_type,route_percent_x_rider_type,running_count,total_count
Woodlawn Ave & 55th St,Kimbark Ave & 53rd St,member,0.019612075513988303,78210,2534153
Wabash Ave & 16th St,Wabash Ave & Roosevelt Rd,member,0.019533153680934022,78705,2534153
Shore Dr & 55th St,Ellis Ave & 60th St,member,0.019533153680934022,79200,2534153
Ellis Ave & 55th St,Drexel Ave & 60th St,member,0.019454231847879744,79693,2534153
Shore Dr & 55th St,Woodlawn Ave & 55th St,casual,0.019394411335704086,155578,1366373
Sheffield Ave & Fullerton Ave,Southport Ave & Wrightwood Ave,casual,0.019394411335704086,155843,1366373
State St & Chicago Ave,Clark St & Elm St,member,0.019375310014825467,80184,2534153
Damen Ave & Foster Ave,Ravenswood Ave & Lawrence Ave,member,0.019375310014825467,80675,2534153
Morgan St & Polk St,Loomis St & Lexington St,casual,0.019174851962092343,156630,1366373
University Ave & 57th St,Drexel Ave & 60th St,member,0.01913854451566263,81160,2534153
Wabash Ave & Roosevelt Rd,Calumet Ave & 18th St,member,0.018941239933026932,81640,2534153
Woodlawn Ave & 58th St,Blackstone Ave & 59th St,member,0.018862318099972655,82118,2534153
Blackstone Ave & 59th St,Ellis Ave & 60th St,member,0.018743935350391237,82593,2534153
University Ave & 57th St,Shore Dr & 55th St,casual,0.018735733214868856,159223,1366373
Kingsbury St & Kinzie St,Desplaines St & Kinzie St,member,0.018704474433864096,83067,2534153
University Ave & 57th St,Cornell Ave & Hyde Park Blvd,member,0.018665013517336956,83540,2534153
Woodlawn Ave & 55th St,Shore Dr & 55th St,casual,0.01866254675699827,159990,1366373
Clarendon Ave & Gordon Ter,Broadway & Waveland Ave,member,0.018586091684282678,84011,2534153
Wabash Ave & Roosevelt Rd,Michigan Ave & 14th St,member,0.018507169851228397,84480,2534153
Broadway & Waveland Ave,Sheridan Rd & Irving Park Rd,member,0.018507169851228397,84949,2534153
Kimbark Ave & 53rd St,Woodlawn Ave & 55th St,member,0.01846770893470126,85417,2534153
Clark St & Elm St,Clark St & Elm St,casual,0.01844298738338653,161508,1366373
Clark St & Wrightwood Ave,Sheffield Ave & Fullerton Ave,member,0.01842824801817412,85884,2534153
University Ave & 57th St,University Ave & 57th St,casual,0.018296614467645366,162010,1366373
Ravenswood Ave & Berteau Ave,Ravenswood Ave & Lawrence Ave,member,0.01827040435206556,86347,2534153
Lake Park Ave & 53rd St,University Ave & 57th St,member,0.018191482519011284,86808,2534153
Navy Pier,Theater on the Lake,member,0.018191482519011284,87269,2534153
Daley Center Plaza,Dearborn Pkwy & Delaware Pl,member,0.018152021602484143,88189,2534153
Kimbark Ave & 53rd St,Ellis Ave & 60th St,member,0.018152021602484143,87729,2534153
