start_station,end_station,ride_type,route_percent_x_rider_type,route_count,running_count,total_count,pair_rank,cumulative_route_percent
Montrose Harbor,Theater on the Lake,casual,0.021297259240339206,291,144243,1366373,190,10.55663424262628
Sheffield Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,casual,0.021077699866727462,288,144531,1366373,191,10.577711942493009
Streeter Dr & Grand Ave,Michigan Ave & Oak St,casual,0.021004513408856878,287,144818,1366373,192,10.598716455901865
Stockton Dr & Wrightwood Ave,Stockton Dr & Wrightwood Ave,casual,0.021004513408856878,287,145105,1366373,193,10.619720969310723
Lincoln Park Conservatory,Michigan Ave & Oak St,casual,0.021004513408856878,287,145392,1366373,194,10.64072548271958
Buckingham Fountain,Millennium Park,casual,0.021004513408856878,287,145679,1366373,195,10.661729996128438
Field Museum,Michigan Ave & Jackson Blvd,casual,0.020931326950986297,286,145965,1366373,196,10.682661323079422
Field Museum,Michigan Ave & 8th St,casual,0.020931326950986297,286,146251,1366373,197,10.703592650030409
Navy Pier,DuSable Lake Shore Dr & Wellington Ave,casual,0.020858140493115716,285,146536,1366373,198,10.724450790523525
Kimbark Ave & 53rd St,Ellis Ave & 60th St,casual,0.020858140493115716,285,146821,1366373,199,10.745308931016641
Montrose Harbor,Lakefront Trail & Bryn Mawr Ave,casual,0.020784954035245135,284,147105,1366373,200,10.766093885051886
St. Clair St & Erie St,St. Clair St & Erie St,casual,0.020638581119503972,282,147387,1366373,201,10.78673246617139
DuSable Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & North Blvd,casual,0.020638581119503972,282,147669,1366373,202,10.807371047290895
Millennium Park,DuSable Lake Shore Dr & North Blvd,casual,0.02049220820376281,280,147949,1366373,203,10.827863255494655
Michigan Ave & Oak St,Lincoln Park Conservatory,casual,0.02049220820376281,280,148229,1366373,204,10.84835546369842
Federal St & Polk St,Federal St & Polk St,casual,0.02049220820376281,280,148509,1366373,205,10.868847671902182
Clark St & Lincoln Ave,Navy Pier,casual,0.02049220820376281,280,148789,1366373,206,10.889339880105945
DuSable Lake Shore Dr & Diversey Pkwy,Navy Pier,casual,0.020345835288021644,278,149067,1366373,207,10.909685715393966
State St & Kinzie St,State St & Kinzie St,casual,0.020199462372280486,276,149343,1366373,208,10.929885177766247
Navy Pier,Montrose Harbor,casual,0.020199462372280486,276,149619,1366373,209,10.950084640138527
Lake Park Ave & 56th St,University Ave & 57th St,casual,0.020199462372280486,276,149895,1366373,210,10.970284102510808
Dusable Harbor,Adler Planetarium,casual,0.020199462372280486,276,150171,1366373,211,10.990483564883089
DuSable Lake Shore Dr & North Blvd,McClurg Ct & Ohio St,casual,0.020199462372280486,276,150447,1366373,212,11.01068302725537
Franklin St & Jackson Blvd,Franklin St & Jackson Blvd,casual,0.0201262759144099,275,150722,1366373,213,11.030809303169779
Millennium Park,Michigan Ave & Lake St,casual,0.02005308945653932,274,150996,1366373,214,11.050862392626318
DuSable Lake Shore Dr & Belmont Ave,Theater on the Lake,casual,0.01997990299866874,273,151269,1366373,215,11.070842295624987
Big Marsh Park,Big Marsh Park,casual,0.01997990299866874,273,151542,1366373,216,11.090822198623655
Wabash Ave & Roosevelt Rd,Shedd Aquarium,casual,0.019906716540798158,272,151814,1366373,217,11.110728915164454
Michigan Ave & 8th St,Michigan Ave & Jackson Blvd,casual,0.019906716540798158,272,152086,1366373,218,11.130635631705251
Lakeview Ave & Fullerton Pkwy,Lakeview Ave & Fullerton Pkwy,casual,0.019906716540798158,272,152358,1366373,219,11.150542348246049
Field Museum,Dusable Harbor,casual,0.019906716540798158,272,152630,1366373,220,11.17044906478685
Michigan Ave & Oak St,Dusable Harbor,casual,0.019760343625056992,270,152900,1366373,221,11.190209408411905
DuSable Lake Shore Dr & Wellington Ave,Navy Pier,casual,0.019760343625056992,270,153170,1366373,222,11.209969752036962
Dearborn St & Erie St,Dearborn St & Erie St,casual,0.019760343625056992,270,153440,1366373,223,11.229730095662019
Adler Planetarium,Indiana Ave & Roosevelt Rd,casual,0.019687157167186414,269,153709,1366373,224,11.249417252829206
Adler Planetarium,Dusable Harbor,casual,0.019687157167186414,269,153978,1366373,225,11.269104409996391
University Ave & 57th St,Blackstone Ave & 59th St,casual,0.019613970709315833,268,154246,1366373,226,11.288718380705708
Field Museum,Indiana Ave & Roosevelt Rd,casual,0.01954078425144525,267,154513,1366373,227,11.308259164957153
DuSable Lake Shore Dr & North Blvd,Lincoln Park Conservatory,casual,0.01954078425144525,267,154780,1366373,228,11.327799949208599
DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Belmont Ave,casual,0.01954078425144525,267,155047,1366373,229,11.347340733460044
Michigan Ave & Oak St,Shedd Aquarium,casual,0.019467597793574667,266,155313,1366373,230,11.366808331253617
Shore Dr & 55th St,Woodlawn Ave & 55th St,casual,0.019394411335704086,265,155578,1366373,231,11.386202742589322
Sheffield Ave & Fullerton Ave,Southport Ave & Wrightwood Ave,casual,0.019394411335704086,265,155843,1366373,232,11.405597153925026
Streeter Dr & Grand Ave,DuSable Lake Shore Dr & North Blvd,casual,0.019248038419962924,263,156106,1366373,233,11.42484519234499
Streeter Dr & Grand Ave,Millennium Park,casual,0.019174851962092343,262,156368,1366373,234,11.444020044307083
Morgan St & Polk St,Loomis St & Lexington St,casual,0.019174851962092343,262,156630,1366373,235,11.463194896269174
Lincoln Park Conservatory,DuSable Lake Shore Dr & Monroe St,casual,0.019174851962092343,262,156892,1366373,236,11.482369748231266
Streeter Dr & Grand Ave,Theater on the Lake,casual,0.019101665504221762,261,157153,1366373,237,11.501471413735489
Navy Pier,LaSalle St & Illinois St,casual,0.019101665504221762,261,157414,1366373,238,11.52057307923971
State St & Randolph St,State St & Randolph St,casual,0.01902847904635118,260,157674,1366373,239,11.539601558286062
Milwaukee Ave & The 606,Milwaukee Ave & The 606,casual,0.01902847904635118,260,157934,1366373,240,11.558630037332412
