end_station_name,end_lat,end_lng,stops,percent_of_stops
Cornell Ave & Hyde Park Blvd,41.80240599999988,-87.58692400000038,4766,0.14484407076875855
Fairbanks St & Superior St,41.895747999999976,-87.62010400000068,4752,0.14441859510976512
Racine Ave & Wrightwood Ave,41.928886999999726,-87.65897099999938,4733,0.14384116385827406
Wood St & Taylor St (Temp),41.86926521843856,-87.67373085021973,4715,0.14329412372528252
Michigan Ave & Madison St,41.88213399999981,-87.6251249999995,4679,0.14220004345929946
Clybourn Ave & Division St,41.90461299999993,-87.64055199999994,4677,0.1421392612223004
Jefferson St & Monroe St,41.88032963363457,-87.64274597167967,4670,0.1419265233928037
Lincoln Ave & Roscoe St*,41.943350247016966,-87.67066776752472,4665,0.14177456780030603
Michigan Ave & Pearson St,41.89766000000007,-87.62351000000037,4607,0.1400118829273333
Southport Ave & Clybourn Ave,41.92097101134624,-87.66443744023184,4550,0.13827958917286012
Dearborn St & Van Buren St,41.876267999999996,-87.6291550000004,4537,0.13788450463236623
Larrabee St & North Ave,41.91020999999963,-87.64349999999958,4537,0.13788450463236623
Adler Planetarium,41.866095000000165,-87.60726700000137,4524,0.13748942009187234
Ashland Ave & Wrightwood Ave,41.92882999890187,-87.66850677987031,4512,0.137124726669878
Larrabee St & Menomonee St,41.91468000000025,-87.64332000000029,4511,0.13709433555137845
Wolcott (Ravenswood) Ave & Montrose Ave,41.96140600000013,-87.67616899999913,4503,0.1368512066033822
Green St & Lake St ,41.88557999999976,-87.64841000000042,4435,0.1347846105454142
Campbell Ave & North Ave,41.910535000000415,-87.68955599999927,4419,0.13429835264942175
Peoria St & Kinzie St,41.88896000000018,-87.64972999999951,4411,0.13405522370142547
Racine Ave & Congress Pkwy,41.874640000000184,-87.65702999999992,4392,0.13347779244993443
Western Ave & Leland Ave,41.965720422647635,-87.68845572169043,4383,0.13320427238343865
Halsted St & Armitage Ave,41.91823000000007,-87.6487900000005,4350,0.1322013654729542
Leavitt St & Chicago Ave,41.89550099999995,-87.68201699999943,4308,0.13092493849597395
Damen Ave & Charleston St,41.9200820000001,-87.67785500000089,4290,0.13037789836298241
Green St & Randolph St*,41.8836015992031,-87.64862672860889,4287,0.1302867250074838
Broadway & Sunnyside Ave,41.963418999999824,-87.65606899999942,4278,0.13001320494098806
St. Clair St & Erie St 2,41.8944500000001,-87.62268000000036,4224,0.12837208454201343
