end_station_name,end_lat,end_lng,stops,percent_of_stops
Loomis St & Lexington St,41.8722287322402,-87.66136385500431,2909,0.16233059638776756
Halsted St & Willow St,41.91386499999997,-87.64875500000069,2866,0.15993107227478234
Halsted St & Maxwell St,41.864883,-87.64707099999974,2827,0.15775475970719108
Dearborn St & Division St,41.90429999999992,-87.62991000000137,2807,0.15663870198022123
Calumet Ave & 21st St,41.854184249470194,-87.61915374149983,2804,0.15647129332117574
Green St & Washington Blvd,41.883181305772645,-87.6487246167462,2797,0.1560806731167363
Carpenter St & Huron St,41.8945559999996,-87.65344900000042,2758,0.15390436054914505
Canal St & Jackson Blvd,41.87812811112889,-87.6399696817,2744,0.15312312014026613
Clarendon Ave & Leland Ave,41.967967999999836,-87.65000100000121,2735,0.15262089416312968
Sheridan Rd & Argyle St,41.973286820259645,-87.65475958585739,2729,0.15228607684503873
Green St & Lake St ,41.88557999999968,-87.64841000000041,2716,0.15156063932250832
Damen Ave & Wicker Park Ave,41.9088152,-87.67719370000064,2687,0.149942355618402
Morgan St & Lake St*,41.88549170626992,-87.65228927135468,2686,0.1498865527320535
Broadway & Thorndale Ave,41.98974251143966,-87.66014062089978,2681,0.14960753830031104
LaSalle St & Jackson Blvd,41.878165999999695,-87.63192899999869,2675,0.14927272098222008
Orleans St & Hubbard St,41.89002800000042,-87.63661799999986,2664,0.14865888923238665
Wood St & Milwaukee Ave,41.90708480779614,-87.67211673239915,2645,0.14759863439176527
Larrabee St & Kingsbury St,41.89776400000002,-87.64288400000069,2637,0.14715221130097733
Clark St & Eddy St ,41.946279999999554,-87.65627000000089,2630,0.14676159109653786
State St & Van Buren St,41.877181000000085,-87.62784400000058,2620,0.14620356223305292
Southport Ave & Irving Park Rd,41.95417699999973,-87.66435800000097,2609,0.14558973048321952
Wells St & Institute Pl,41.89737986072318,-87.63442039489746,2608,0.14553392759687103
Broadway & Granville Ave,41.99477968840036,-87.66028453489945,2604,0.14531071605147705
Broadway & Oakdale Ave,41.935580419268945,-87.64404982696941,2597,0.14492009584703758
Wabash Ave & 16th St,41.860383999999705,-87.62581299999987,2575,0.14369243234737072
Ashland Ave & Division St,41.90317395710727,-87.66927108239389,2574,0.14363662946102224
Hampden Ct & Diversey Pkwy,41.932469999999824,-87.64241999999959,2566,0.1431902063702343
Damen Ave & Thomas St (Augusta Blvd),41.901314999999855,-87.67740900000051,2563,0.1430227977111888
Aberdeen St & Carroll Ave,41.88818999999997,-87.65458999999993,2561,0.14291119193849183
Woodlawn Ave & 55th St,41.79526400000024,-87.59647099999894,2528,0.14106969668899155
Halsted St & Armitage Ave,41.91823000000003,-87.6487900000004,2512,0.14017685050741563
Woodlawn Ave & 58th St,41.789380999999864,-87.59647899999983,2511,0.14012104762106714
Wilton Ave & Addison St,41.94745900000015,-87.65321599999969,2506,0.1398420331893247
Clinton St & Roosevelt Rd,41.867117782500294,-87.64108795930025,2499,0.13945141298488523
Ogden Ave & Race Ave,41.89179499999988,-87.65875100000025,2499,0.13945141298488523
Western Ave & Winnebago Ave,41.91551999999968,-87.68702199999902,2479,0.13833535525791535
Ashland Ave & Blackhawk St,41.90706599999984,-87.66725199999946,2475,0.13811214371252137
Green St & Randolph St*,41.8836015992031,-87.64862672860889,2446,0.13649386000841507
Clark St & Montrose Ave,41.96158799999933,-87.66603599999945,2440,0.1361590426903241
Sheffield Ave & Willow St,41.91368800000033,-87.65285499999851,2411,0.1345407589862178
Orleans St & Chestnut St (NEXT Apts),41.89820299999969,-87.63753599999912,2409,0.1344291532135208
Delano Ct & Roosevelt Rd,41.86749100000018,-87.63218999999972,2401,0.13398273012273287
900 W Harrison St,41.874753999999974,-87.64980700000021,2399,0.13387112435003587
Dearborn St & Adams St,41.87937555453318,-87.62976150076392,2391,0.13342470125924794
Wood St & Beach Ave,41.90765500000051,-87.67255200000142,2385,0.13308988394115698
Dearborn St & Van Buren St,41.876268,-87.62915500000031,2372,0.13236444641862655
Sangamon St & Washington Blvd,41.883164999999664,-87.65110000000061,2362,0.1318064175551416
Cornell Ave & Hyde Park Blvd,41.8024059999999,-87.58692400000062,2320,0.1294626963285049
Racine Ave & Wrightwood Ave,41.92888699999952,-87.65897099999934,2293,0.12795601839709558
Kingsbury St & Kinzie St 1,41.889070000000174,-87.63834999999787,2288,0.12767700396535311
May St & Taylor St,41.86939043256844,-87.65539649442545,2272,0.1267841577837772
Paulina Ave & North Ave,41.909854652167795,-87.66993016004562,2266,0.12644934046568626
Broadway & Berwyn Ave,41.97836100000037,-87.65978899999938,2264,0.12633773469298926
Noble St & Milwaukee Ave,41.900699999999354,-87.6626070000004,2253,0.12572390294315583
Dearborn St & Maple St,41.90191999999953,-87.63026000000077,2252,0.12566810005680734
Humboldt Blvd & Armitage Ave,41.917513393989836,-87.70180895549952,2252,0.12566810005680734
