end_station_name,end_lat,end_lng,casual_stops,percent_of_casual_stops
Ashland Ave & Wellington Ave,41.93608300000021,-87.66980699999917,2036,0.11361467660553275
Spaulding Ave & Armitage Ave,41.917108034789045,-87.71022096276283,2032,0.11339146506013877
Canal St & Taylor St,41.87025699999983,-87.6394740000003,2025,0.11300084485569932
Aberdeen St & Monroe St,41.880280709246314,-87.6551130497243,2018,0.11261022465125986
Western Ave & Walton St,41.89841768944956,-87.68659601639962,2007,0.11199639290142642
Halsted St & Polk St,41.871840000000084,-87.64664000000013,1993,0.11121515249254753
St Clair St & Ohio St,41.89237999999981,-87.6226400000007,1967,0.10976427744748668
Clinton St & Washington Blvd 2,41.88337874725237,-87.64117006593374,1962,0.10948526301574421
Wolcott (Ravenswood) Ave & Montrose Ave,41.96140599999988,-87.67616899999925,1956,0.10915044569765327
Blue Island Ave & 18th St,41.85755600000013,-87.6615349999998,1942,0.10836920528877435
Rush St & Illinois St,41.89086999999973,-87.62584000000035,1898,0.10591387828944064
Jefferson St & Monroe St,41.88032963363449,-87.64274597167967,1892,0.10557906097134967
Western Ave & Leland Ave,41.96572042264764,-87.68845572169025,1887,0.1053000465396072
Seeley Ave & Roscoe St,41.9434030000001,-87.67961799999993,1872,0.1044630032443798
Ashland Ave & Wrightwood Ave,41.92882999890215,-87.66850677987071,1868,0.10423979169898584
Damen Ave & Wellington Ave,41.93588000000027,-87.67841999999925,1865,0.10407238303994036
Ada St & Washington Blvd,41.88282999999972,-87.66120599999957,1858,0.1036817628355009
Sheridan Rd & Lawrence Ave,41.96951700000015,-87.65469100000061,1852,0.10334694551740993
Larrabee St & North Ave,41.91020999999979,-87.64349999999983,1847,0.10306793108566746
LaSalle St & Adams St,41.87934437346021,-87.63198522129935,1845,0.1029563253129705
Ashland Ave & Grand Ave,41.89107199999967,-87.66661099999997,1833,0.10228669067678857
Elizabeth St & Fulton St,41.88674360684891,-87.6594303445309,1830,0.10211928201774309
Peoria St & Kinzie St,41.88896000000019,-87.64972999999965,1825,0.10184026758600062
Larrabee St & Oak St,41.90031783427878,-87.64238663675538,1825,0.10184026758600062
Clark St & 9th St (AMLI),41.87081599999999,-87.63124600000009,1800,0.10044519542728829
Leavitt St & North Ave,41.910192432652735,-87.68233923469404,1800,0.10044519542728829
Wabash Ave & Cermak Rd,41.85261899999988,-87.62648800000052,1791,0.09994296945015184
Leavitt St & Armitage Ave,41.91780499999998,-87.68243700000042,1791,0.09994296945015184
Ellis Ave & 58th St,41.78874613008241,-87.60133399440248,1790,0.09988716656380335
Bissell St & Armitage Ave,41.918295562935974,-87.65218332409859,1778,0.09921753192762142
Wood St & Augusta Blvd,41.899181000000304,-87.67220000000069,1774,0.09899432038222744
Ashland Ave & Augusta Blvd,41.89961999999986,-87.66840999999917,1767,0.09860370017778798
Western Ave & Division St,41.9028929999998,-87.68727499999936,1760,0.09821307997334855
Leavitt St & Chicago Ave,41.89550099999997,-87.68201699999943,1759,0.09815727708700005
Paulina St & Flournoy St,41.873061087898265,-87.66913488507271,1755,0.09793406554160608
Lincoln Ave & Belle Plaine Ave,41.95600355078538,-87.68016144633293,1754,0.09787826265525758
Leavitt St & Belmont Ave,41.93935399999975,-87.6832820000001,1753,0.09782245976890909
California Ave & Francis Pl,41.91849116184234,-87.6974228268954,1749,0.09759924822351511
Lake Park Ave & 56th St,41.7916100000002,-87.58748000000034,1748,0.09754344533716662
Milwaukee Ave & Rockwell St,41.920330000000334,-87.69309000000044,1738,0.09698541647368168
MLK Jr Dr & 29th St,41.84205199999998,-87.61699999999928,1727,0.09637158472384826
Paulina St & 18th St,41.85790099999977,-87.66874500000037,1724,0.09620417606480278
Halsted St & Belden St,41.92365000000016,-87.64893999999939,1721,0.0960367674057573
Lincoln Ave & Roscoe St*,41.94335024701697,-87.67066776752472,1721,0.0960367674057573
California Ave & Division St,41.90302899999983,-87.69747400000023,1721,0.0960367674057573
Ravenswood Ave & Irving Park Rd,41.954689999999836,-87.67392999999993,1717,0.09581355586036332
Lincoln Ave & Byron St,41.952371999999855,-87.67729600000054,1715,0.09570195008766633
Sheffield Ave & Addison St,41.94701699999946,-87.65441800000006,1692,0.09441848370165098
