start_hour,day_of_the_week_started_on,member_rides,casual_rides,member_daily_percent,casual_daily_percent
1,Sunday,6638,8967,1.4833386964138868,2.323966111095273
2,Sunday,4297,6144,0.9602148807608424,1.5923327519314552
3,Sunday,2580,3499,0.5765311594980157,0.9068314288750262
4,Sunday,1819,2288,0.4064768136150738,0.5929780820994742
5,Sunday,2345,2112,0.5240176624119561,0.5473643834764377
6,Sunday,4989,3366,1.1148503700525583,0.8723619861655726
7,Sunday,7864,5271,1.7573027280203082,1.3660784400115071
8,Sunday,13749,8847,3.072374772069076,2.2928658620341116
9,Sunday,21532,14910,4.811577103221424,3.8642059458492835
10,Sunday,28633,21996,6.398378561979334,5.700675652910854
11,Sunday,33319,27479,7.445520040044334,7.121697866263746
12,Sunday,35492,31428,7.93110229182309,8.145155229118126
13,Sunday,35311,32249,7.890655725982337,8.357932766444904
14,Sunday,35970,33602,8.037916979513032,8.708588074609498
15,Sunday,36614,34462,8.181826307697808,8.931473192881153
16,Sunday,36484,32596,8.152776288033179,8.447864319980097
17,Sunday,33121,27463,7.401274625478208,7.117551166388925
18,Sunday,30375,23143,6.787648825485358,5.997942200187119
19,Sunday,22382,17141,5.0015195394901495,4.442411409644706
20,Sunday,16541,12594,3.6962798097894094,3.2639711389688713
21,Sunday,12875,9628,2.87706925524688,2.495276649673836
22,Sunday,9374,8080,2.094729879509457,2.094083436784856
23,Sunday,5395,5296,1.2055758160820909,1.3725576585659156
