end_station_name,end_lat,end_lng,member_stops,percent_of_member_stops
Lincoln Ave & Roscoe St*,41.9433502470172,-87.67066776752472,4665,0.14177456780030603
Michigan Ave & Pearson St,41.89766000000022,-87.62351000000065,4607,0.1400118829273333
Southport Ave & Clybourn Ave,41.920971011346204,-87.66443744023181,4550,0.13827958917286012
Dearborn St & Van Buren St,41.876267999999996,-87.62915500000027,4537,0.13788450463236623
Larrabee St & North Ave,41.910209999999466,-87.64349999999916,4537,0.13788450463236623
Adler Planetarium,41.866095000000165,-87.607267000001,4524,0.13748942009187234
Ashland Ave & Wrightwood Ave,41.92882999890201,-87.66850677987051,4512,0.137124726669878
Larrabee St & Menomonee St,41.91468000000043,-87.6433200000006,4511,0.13709433555137845
Wolcott (Ravenswood) Ave & Montrose Ave,41.96140599999988,-87.67616899999926,4503,0.1368512066033822
Green St & Lake St ,41.88557999999976,-87.64841000000042,4435,0.1347846105454142
Campbell Ave & North Ave,41.910535000000245,-87.68955599999933,4419,0.13429835264942175
Peoria St & Kinzie St,41.88896000000019,-87.64972999999964,4411,0.13405522370142547
Racine Ave & Congress Pkwy,41.87464000000021,-87.65702999999993,4392,0.13347779244993443
Western Ave & Leland Ave,41.96572042264764,-87.68845572169076,4383,0.13320427238343865
Halsted St & Armitage Ave,41.918230000000015,-87.64879000000035,4350,0.1322013654729542
Leavitt St & Chicago Ave,41.895501000000024,-87.68201699999945,4308,0.13092493849597395
Damen Ave & Charleston St,41.92008199999986,-87.677855000001,4290,0.13037789836298241
Green St & Randolph St*,41.88360159920308,-87.64862672860889,4287,0.1302867250074838
Broadway & Sunnyside Ave,41.96341899999982,-87.65606899999976,4278,0.13001320494098806
St. Clair St & Erie St 2,41.8944499999998,-87.62268000000034,4224,0.12837208454201343
Benson Ave & Church St,42.04821399999984,-87.68348500000067,4213,0.1280377822385186
Wacker Dr & Randolph St,41.88453999999963,-87.63732000000063,4198,0.12758191546102568
Wells St & Madison St,41.88198980326447,-87.63417978937983,4197,0.12755152434252615
Orleans St & Elm St,41.9029240000005,-87.63771499999979,4185,0.1271868309205318
Delano Ct & Roosevelt Rd,41.86749100000048,-87.63218999999914,4183,0.12712604868353272
Leavitt St & Armitage Ave,41.917804999999866,-87.68243700000018,4180,0.12703487532803415
Throop St & Taylor St,41.86896800000005,-87.65914099999917,4147,0.12603196841754966
LaSalle St & Washington St,41.88301623238673,-87.63227200874199,4138,0.12575844835105388
Racine Ave & 18th St,41.85839960000039,-87.6564225999998,4106,0.12478593255906895
